aw,aañ,\s|^,\s|$
aen,aeñ,\s|^,\s|$
ahikawshoow,ahikawshoow,\s|^,\s|$
daen,daeñ,\s|^,\s|$
akooz,akooz,\s|^,\s|$
ahow,ahaw,\s|^,\s|$
akoushi,akoshi,\s|^,\s|$
akoush,akoshi,\s|^,\s|$
anoush,anoosh,\s|^,\s|$
anoosh,anoosh,\s|^,\s|$
atawway,ataawee,\s|^,\s|$
apre,apree,\s|^,\s|$
aryaen,aryaeñ,\s|^,\s|$
atikway,eetikwee,\s|^,\s|$
atoushkay,atoshkee,\s|^,\s|$
awhkoushi,aahkoshi,\s|^,\s|$
ayeshkoushi,ayeshkoshi,\s|^,\s|$
avawn,avaañ,\s|^,\s|$
awaena,aweena,\s|^,\s|$
awina,aweena,\s|^,\s|$
awn,aañ,\s|^,\s|$
awnfawn,aañfaañ
awta,aata,\s|^,\s|$
ashtaywa,ashteewa,\s|^,\s|$
apisheesh,apishiish,\s|^,\s|$
ayawhk,ayaahk,\s|$
ayaaw,ayaaw,\s|$
ayaw,ayaaw,,\s|$
ayow,ayaaw,\s|$
baw,baañ,\s|^,\s|$
bawn,baañ,\s|^,\s|$
baen,baeñ,\s|^,\s|$
beebee,beebii,\s|^,\s|$
bitaen,bitaeñ,\s|^,\s|$
bon,booñ,\s|^,\s|$
boo,boo,\s|^,\s|$
boot,boot,\s|^,\s|$
boon,booñ,\s|^,\s|$
bout,boot,\s|^,\s|$
boun,booñ,\s|^,\s|$
bwaw,bwaa,\s|^,\s|$
cheen,chiiñ,\s|^,\s|$
yeen,yiiñ
kayawsh,kayaash
da,daañ,\s|^,\s|$
daw,daañ,\s|^,\s|$
dawn,daañ,\s|^,\s|$
didawn,didaañ,\s|^,\s|$
diloo,diloo,\s|^,\s|$
disoor,desoor,\s|^,\s|$
disour,desour,\s|^,\s|$
ekoshi,eekoshi,\s|^,\s|$
enehin,anahiñ,\s|^,\s|$
etikway,eetikwee,\s|^,\s|$
faem,faam,\s|^,\s|$
fam,faam,\s|^,\s|$
feey,fii,\s|^,\s|$
foo,foo,\s|^,\s|$
grous,groos,\s|^,\s|$
groos,groos,\s|^,\s|$
grou,groo,\s|^,\s|$
groo,groo,\s|^,\s|$
hout,hoot,\s|^,\s|$
ikou,ikoo,\s|^,\s|$
inoo,inoo,\s|^,\s|$
kaw-,kaa-,\s|^,\s|$
kaykway,keekway,\s|^,\s|$
kawfee,kaafii,\s|^,\s|$
kawndee,kaañdii,\s|^,\s|$
kawshi,kaashi,\s|^,\s|$
kawshoow,kaashoow,\s|^,\s|$
kawshoo,kaashoo,\s|^,\s|$
kayschinaw,keeschinaa,\s|^,\s|$
keemooch,kiimooch,\s|^,\s|$
keeyawm,kiiyaam,\s|^,\s|$
kesyoon,keschyooñ,\s|^,\s|$
