shch,hch
hch,sch
ayik,ayik
vawn,vaañ
uhk,ahk
wun,wan,,\s|$
wy,way
tout,toot,\s|^,VOWEL
chin,chin
awch,aach
hkaw,hkaa,VOWEL
awhk,aahk
awht,aaht
hpaw,hpaa,VOWEL
awhp,aahp
aenz,aeñz
vaen,vaeñ
vawn,vaañ
awnv,aañv
oov,oov
iyawn,iyaan
kaw-,kaa-
zhawn,zhaañ
lawn,laañ
laen,laeñ
rawn,raañ
raen,raeñ
,,,
,,,
ann,an
aww,aaw
aaw,aaw,,\s|$
aw,aw,,VOWEL
aw,aa,,STOP
aw,aa,STOP,STOP
aw,aa,\s|^,VOWEL
ay,ay,,VOWEL
ay,ee
ee,ii
enn,en
inn,in
in,in,,am
gee,gii,\s|^
kee,kii,\s|^
oe,oeu
oon,ooñ,,\s|$
oo,oo,,\s|$
onn,on
ounn,oon
ou,o,\s|^,
oow,oow,,\s|$
ow,aw,,\s|$
ueu,oeu
uy,ay
wee,wii,\s|^,]
,,,
,,,
een,[een]
awn,[awn]
aen,[aen]
oun,[oun]
in,[in]
on,[on]
nn,n[FR],,\s|$
oum,[oum]
ou,[ou]
oo,[oo]
oow,[oow]
ow,[ow]
aw,[aw]
